# SEED LIST — S&P 500 large caps.
# This file is a best-effort snapshot, NOT an authoritative index membership
# record, and it contains only *current* members (see the survivorship-bias
# discussion in docs/indicator-research.md). Refresh it on a networked machine
# with:  swing universe --fetch
# Columns: symbol,kind,name
symbol,kind,name
A,stock,Agilent Technologies
AAPL,stock,Apple
ABBV,stock,AbbVie
ABNB,stock,Airbnb
ABT,stock,Abbott Laboratories
ACGL,stock,Arch Capital
ACN,stock,Accenture
ADBE,stock,Adobe
ADI,stock,Analog Devices
ADM,stock,Archer-Daniels-Midland
ADP,stock,Automatic Data Processing
ADSK,stock,Autodesk
AEE,stock,Ameren
AEP,stock,American Electric Power
AES,stock,AES Corp
AFL,stock,Aflac
AIG,stock,American International Group
AIZ,stock,Assurant
AJG,stock,Arthur J. Gallagher
AKAM,stock,Akamai
ALB,stock,Albemarle
ALGN,stock,Align Technology
ALL,stock,Allstate
ALLE,stock,Allegion
AMAT,stock,Applied Materials
AMCR,stock,Amcor
AMD,stock,Advanced Micro Devices
AME,stock,Ametek
AMGN,stock,Amgen
AMP,stock,Ameriprise Financial
AMT,stock,American Tower
AMZN,stock,Amazon
ANET,stock,Arista Networks
ANSS,stock,Ansys
AON,stock,Aon
AOS,stock,A.O. Smith
APA,stock,APA Corp
APD,stock,Air Products
APH,stock,Amphenol
APTV,stock,Aptiv
ARE,stock,Alexandria Real Estate
ATO,stock,Atmos Energy
AVB,stock,AvalonBay Communities
AVGO,stock,Broadcom
AVY,stock,Avery Dennison
AWK,stock,American Water Works
AXON,stock,Axon Enterprise
AXP,stock,American Express
AZO,stock,AutoZone
BA,stock,Boeing
BAC,stock,Bank of America
BALL,stock,Ball Corp
BAX,stock,Baxter International
BBY,stock,Best Buy
BDX,stock,Becton Dickinson
BEN,stock,Franklin Resources
BG,stock,Bunge Global
BIIB,stock,Biogen
BK,stock,Bank of New York Mellon
BKNG,stock,Booking Holdings
BKR,stock,Baker Hughes
BLDR,stock,Builders FirstSource
BLK,stock,BlackRock
BMY,stock,Bristol-Myers Squibb
BR,stock,Broadridge Financial
BRO,stock,Brown & Brown
BSX,stock,Boston Scientific
BX,stock,Blackstone
BXP,stock,BXP Inc
C,stock,Citigroup
CAG,stock,Conagra Brands
CAH,stock,Cardinal Health
CARR,stock,Carrier Global
CAT,stock,Caterpillar
CB,stock,Chubb
CBOE,stock,Cboe Global Markets
CBRE,stock,CBRE Group
CCI,stock,Crown Castle
CCL,stock,Carnival
CDNS,stock,Cadence Design Systems
