# SEED LIST — S&P SmallCap 600 (partial).
# Hand-seeded with liquid small caps. NOT the full 600 and NOT authoritative;
# refresh on a networked machine with:  swing universe --fetch
# Note: small caps are where the liquidity filter earns its keep — many names
# here will be screened out by min_dollar_volume, and that is the point.
# Columns: symbol,kind,name
symbol,kind,name
AAP,stock,Advance Auto Parts
ABCB,stock,Ameris Bancorp
ABM,stock,ABM Industries
ACA,stock,Arcosa
ACLS,stock,Axcelis Technologies
AEIS,stock,Advanced Energy Industries
AGO,stock,Assured Guaranty
AIN,stock,Albany International
AIR,stock,AAR Corp
ALG,stock,Alamo Group
ALGT,stock,Allegiant Travel
AMN,stock,AMN Healthcare Services
AMPH,stock,Amphastar Pharmaceuticals
ANDE,stock,Andersons Inc
AORT,stock,Artivion
APAM,stock,Artisan Partners
APLE,stock,Apple Hospitality REIT
APOG,stock,Apogee Enterprises
ARCB,stock,ArcBest
AROC,stock,Archrock
ASO,stock,Academy Sports and Outdoors
ATGE,stock,Adtalem Global Education
ATI,stock,ATI Inc
AUB,stock,Atlantic Union Bankshares
AVA,stock,Avista Corp
AWI,stock,Armstrong World Industries
AWR,stock,American States Water
AX,stock,Axos Financial
AZZ,stock,AZZ Inc
BANF,stock,BancFirst
BANR,stock,Banner Corp
BCC,stock,Boise Cascade
BCPC,stock,Balchem
BGC,stock,BGC Group
BHE,stock,Benchmark Electronics
BKE,stock,Buckle Inc
BL,stock,BlackLine
BLKB,stock,Blackbaud
BMI,stock,Badger Meter
BOH,stock,Bank of Hawaii
BOOT,stock,Boot Barn Holdings
BRC,stock,Brady Corp
CAKE,stock,Cheesecake Factory
CALM,stock,Cal-Maine Foods
CARG,stock,CarGurus
CATY,stock,Cathay General Bancorp
CBU,stock,Community Financial System
CENTA,stock,Central Garden & Pet
CEVA,stock,CEVA Inc
CHCO,stock,City Holding Co
CNK,stock,Cinemark Holdings
CNS,stock,Cohen & Steers
COLM,stock,Columbia Sportswear
CORT,stock,Corcept Therapeutics
CPK,stock,Chesapeake Utilities
CRAI,stock,CRA International
CRC,stock,California Resources
CRS,stock,Carpenter Technology
CSGS,stock,CSG Systems International
CSWI,stock,CSW Industrials
CTRE,stock,CareTrust REIT
CTS,stock,CTS Corp
CVCO,stock,Cavco Industries
CWT,stock,California Water Service
DIOD,stock,Diodes Inc
DNOW,stock,DNOW Inc
DORM,stock,Dorman Products
DRH,stock,DiamondRock Hospitality
DXPE,stock,DXP Enterprises
EBC,stock,Eastern Bankshares
EFC,stock,Ellington Financial
EGBN,stock,Eagle Bancorp
ENR,stock,Energizer Holdings
ENSG,stock,Ensign Group
EPAC,stock,Enerpac Tool Group
EPC,stock,Edgewell Personal Care
ESE,stock,ESCO Technologies
ETSY,stock,Etsy
EXPO,stock,Exponent
EXTR,stock,Extreme Networks
FBP,stock,First BanCorp
FELE,stock,Franklin Electric
FIZZ,stock,National Beverage
FORM,stock,FormFactor
FOXF,stock,Fox Factory Holding
FSS,stock,Federal Signal
FUL,stock,H.B. Fuller
GEO,stock,GEO Group
GFF,stock,Griffon Corp
GKOS,stock,Glaukos
GMS,stock,GMS Inc
GNW,stock,Genworth Financial
GPI,stock,Group 1 Automotive
GRBK,stock,Green Brick Partners
GTES,stock,Gates Industrial
HAYW,stock,Hayward Holdings
HCC,stock,Warrior Met Coal
HELE,stock,Helen of Troy
HI,stock,Hillenbrand
HIW,stock,Highwoods Properties
HLIT,stock,Harmonic Inc
HNI,stock,HNI Corp
HP,stock,Helmerich & Payne
HUBG,stock,Hub Group
HWKN,stock,Hawkins Inc
IBP,stock,Installed Building Products
ICUI,stock,ICU Medical
IIPR,stock,Innovative Industrial Properties
INDB,stock,Independent Bank Corp
IOSP,stock,Innospec
IPAR,stock,Interparfums
ITGR,stock,Integer Holdings
ITRI,stock,Itron
JBT,stock,John Bean Technologies
JJSF,stock,J&J Snack Foods
JOE,stock,St. Joe Co
KAI,stock,Kadant Inc
KFY,stock,Korn Ferry
KLIC,stock,Kulicke & Soffa Industries
