symbol,name,added,removed,added_bound,removed_bound,added_source,removed_source
A,Agilent Technologies,2000-06-05,,exact,,wikipedia,
AA,Alcoa,,2016-11-01,,exact,,wikipedia
AAL,American Airlines Group,2015-03-23,2024-09-23,exact,exact,wikipedia,wikipedia
AAP,Advance Auto Parts,2015-07-08,2023-08-25,exact,exact,wikipedia,wikipedia
AAPL,Apple Inc.,1982-11-30,,exact,,wikipedia,
ABBV,AbbVie,2012-12-31,,exact,,wikipedia,
ABC,AmerisourceBergen Corp.,,2023-09-30,,no_later_than,,edgar
ABK,Ambac Financial,2000-12-05,2008-06-10,exact,exact,wikipedia,wikipedia
ABMD,Abiomed,2018-05-31,2022-12-22,exact,exact,wikipedia,wikipedia
ABNB,Airbnb,2023-09-18,,exact,,wikipedia,
ABS,Albertsons,,2006-06-02,,exact,,wikipedia
ABT,Abbott Laboratories,1957-03-04,,exact,,wikipedia,
ACAS,American Capital,,2009-03-03,,exact,,wikipedia
ACE,Chubb,,2016-01-19,,exact,,wikipedia
ACGL,Arch Capital Group,2022-11-01,,exact,,wikipedia,
ACI,Albertson’s Inc.,,2006-06-30,,no_later_than,,edgar
ACN,Accenture,2011-07-06,,exact,,wikipedia,
ACS,Affiliated Computer Services Inc. Class A(1),,2010-03-31,,no_later_than,,edgar
ACT,Actavis,1999-04-12,2013-12-31,exact,no_later_than,wikipedia,edgar
ACV,Alberto-Culver Co.,,2006-12-31,,no_later_than,,edgar
ADBE,Adobe Inc.,1997-05-05,,exact,,wikipedia,
ADCT,ADC Telecommunications,,2007-07-02,,exact,,wikipedia
ADI,Analog Devices,1999-10-12,,exact,,wikipedia,
ADM,Archer Daniels Midland,1957-03-04,,exact,,wikipedia,
ADP,Automatic Data Processing,1981-03-31,,exact,,wikipedia,
ADS,Alliance Data Systems,2013-12-23,2020-06-22,exact,exact,wikipedia,wikipedia
ADSK,Autodesk,1989-12-01,,exact,,wikipedia,
ADT,ADT,2012-10-01,2016-05-03,exact,exact,wikipedia,wikipedia
AEE,Ameren,1991-09-19,,exact,,wikipedia,
AEP,American Electric Power,1957-03-04,,exact,,wikipedia,
AES,AES Corporation,1998-10-02,,exact,,wikipedia,
AET,Aetna,,2018-12-03,,exact,,wikipedia
AFL,Aflac,1999-05-28,,exact,,wikipedia,
AGN,Allergan,,2015-03-23,,exact,,wikipedia
AGN,Allergan,,2020-05-12,,exact,,wikipedia
AGN,Allergan Inc.,2015-06-30,2020-06-30,no_later_than,no_later_than,edgar,edgar
AIG,American International Group,1980-03-31,,exact,,wikipedia,
AIV,Aimco,,2020-12-21,,exact,,wikipedia
AIZ,Assurant,2007-04-10,,exact,,wikipedia,
AJG,Arthur J. Gallagher & Co.,2016-05-31,,exact,,wikipedia,
AKAM,Akamai Technologies,2007-07-12,,exact,,wikipedia,
AKS,AK Steel,2008-07-01,2011-12-16,exact,exact,wikipedia,wikipedia
ALB,Albemarle Corporation,2016-07-01,,exact,,wikipedia,
ALGN,Align Technology,2017-06-19,,exact,,wikipedia,
ALK,Alaska Air Group,2016-05-13,2023-12-18,exact,exact,wikipedia,wikipedia
ALL,Allstate,1995-07-13,,exact,,wikipedia,
ALLE,Allegion,2013-12-02,,exact,,wikipedia,
ALTR,Altera,,2015-12-29,,exact,,wikipedia
ALXN,Alexion Pharmaceuticals,2012-05-21,2021-07-21,exact,exact,wikipedia,wikipedia
AMAT,Applied Materials,1995-03-16,,exact,,wikipedia,
AMBC,Ambac Financial Group Inc.,,2008-06-30,,no_later_than,,edgar
AMCC,Applied Micro Circuits Corp.(1),,2006-06-30,,no_later_than,,edgar
AMCR,Amcor,2019-06-07,,exact,,wikipedia,
AMD,Advanced Micro Devices,,2013-09-20,,exact,,wikipedia
AMD,Advanced Micro Devices,2017-03-20,,exact,,wikipedia,
AME,Ametek,2013-09-23,,exact,,wikipedia,
AMG,Affiliated Managers Group,2014-07-01,2019-12-23,exact,exact,wikipedia,wikipedia
AMGN,Amgen,1992-01-02,,exact,,wikipedia,
AMP,Ameriprise Financial,2005-10-03,,exact,,wikipedia,
AMT,American Tower,2007-11-19,,exact,,wikipedia,
AMTM,Amentum,2024-09-30,2024-12-23,exact,exact,wikipedia,wikipedia
AMZN,Amazon,2005-11-18,,exact,,wikipedia,
AN,AutoNation,,1998-12-11,,exact,,wikipedia
AN,AutoNation,,2017-08-08,,exact,,wikipedia
ANDV,Andeavor,2017-09-30,2018-10-01,no_later_than,exact,edgar,wikipedia
ANET,Arista Networks,2018-08-28,,exact,,wikipedia,
ANF,Abercrombie & Fitch,2007-03-31,2013-12-23,no_later_than,exact,edgar,wikipedia
ANR,Alpha Natural Resources,2011-06-01,2012-10-02,exact,exact,wikipedia,wikipedia
ANSS,Ansys,2017-06-19,2025-07-18,exact,exact,wikipedia,wikipedia
ANTM,Anthem Inc.,2014-12-31,2022-06-30,no_later_than,no_later_than,edgar,edgar
AON,Aon plc,1996-04-23,,exact,,wikipedia,
AOS,A. O. Smith,2017-07-26,,exact,,wikipedia,
APA,APA Corporation,1997-07-28,,exact,,wikipedia,
APC,Anadarko Petroleum,,2019-08-09,,exact,,wikipedia
APD,Air Products,1985-04-30,,exact,,wikipedia,
APGI,American Power Conversion Corp.,,2007-03-31,,no_later_than,,edgar
APH,Amphenol,2008-09-30,,exact,,wikipedia,
APO,Apollo Global Management,2024-12-23,,exact,,wikipedia,
APOL,Apollo Education Group,,2013-07-01,,exact,,wikipedia
APP,AppLovin,2025-09-22,,exact,,wikipedia,
APTV,Aptiv,2012-12-24,,exact,,wikipedia,
