symbol,name,added,removed
AAMI,Acadian Asset Management Inc.,,
AAN,"Aaron's, Inc.",2020-12-02,2023-09-18
AAOI,Applied Optoelectronics,,2021-11-09
AAON,AAON,,2024-05-08
AAP,"Advance Auto Parts, Inc.",2023-08-25,
AAT,American Assets Trust,,
AAWW,Atlas Air Worldwide Holdings,,2023-03-21
ABCB,Ameris Bancorp,,
ABG,Asbury Automotive Group,,
ABM,"ABM Industries, Inc.",,
ABR,Arbor Realty Trust,2023-06-23,
ABTX,Allegiance Bancshares,,2022-10-03
ACA,"Arcosa, Inc.",,
ACAD,Acadia Pharmaceuticals,2025-01-03,
ACHC,Acadia Healthcare,2025-09-22,
ACIW,ACI Worldwide,2023-11-13,
ACLS,"Axcelis Technologies, Inc.",,
ACMR,"ACM Research, Inc.",2025-09-26,
ACOR,Acorda Therapeutics,,2020-05-12
ACT,"Enact Holdings, Inc.",2025-04-16,
ADAM,"Adamas Trust, Inc.",2025-09-02,
ADC,Agree Realty Corp.,,2023-02-06
ADEA,"Adeia, Inc.",,
ADIG,ADI Global Distribution,2026-08-04,
ADMA,"ADMA Biologics, Inc.",2024-09-23,
ADNT,Adient,2024-09-23,
ADT,ADT Inc.,2026-02-09,
ADTN,ADTRAN,,2024-06-24
ADUS,Addus HomeCare Corp.,,
AEGN,Aegion Corp.,,2021-05-17
AEIS,Advanced Energy,,2026-02-02
AEL,American Equity Investment Life Holding Co.,,2024-05-06
AEO,American Eagle Outfitters,2022-09-19,
AESI,"Atlas Energy Solutions, Inc.",2024-11-26,
AGNT,"eXp World Holdings, Inc.",2026-05-08,
AGO,Assured Guaranty Ltd.,2020-10-07,
AGTI,Agiliti,2022-12-19,2024-05-07
AGX,"Argan, Inc.",2026-03-23,
AGYS,"Agilysys, Inc.",,
AHCO,AdaptHealth Corp.,2022-08-04,
AHRT,AH Realty Trust,,2026-03-23
AIN,Albany International Corp.,,
AIR,AAR Corp.,,
AIT,Applied Industrial Technologies,,2024-03-18
AJRD,Aerojet Rocketdyne,,2023-08-01
AKR,Acadia Realty Trust,,
AKRX,Akorn,,2020-05-01
AL,Air Lease Corporation,2024-03-18,2026-04-09
ALEX,Alexander & Baldwin,2020-02-13,2026-03-13
ALG,Alamo Group,,
ALGT,Allegiant Travel Company,,
ALHC,"Alignment Healthcare, Inc.",2026-05-14,
ALK,Alaska Air Group,,2025-03-24
ALKS,Alkermes plc,2023-12-18,
ALRM,"Alarm.Com, Inc.",,
ALSK,Alaska Air Group,2023-12-18,unknown
AMAG,AMAG Pharmaceuticals,,2020-11-13
AMBC,Ambac Financial Group,,2025-03-24
AMCX,AMC Networks,2020-12-02,2024-09-23
AMEH,"Apollo Medical Holdings, Inc.",2021-06-15,unknown
AMN,"Amn Healthcare Services, Inc.",,
AMPH,"Amphstar Pharmaceuticals, Inc.",,
AMR,"Alpha Metallurgical Resources, Inc.",2023-11-10,
AMRX,Amneal Pharmaceuticals,2026-01-30,
AMSF,"Amerisafe, Inc.",,
AMTM,Amentum,2024-12-23,
AMWD,American Woodmark,,2026-06-01
ANDE,"The Andersons, Inc.",,
ANF,Abercrombie & Fitch Company,,2024-07-22
ANGI,Angi Inc.,2025-04-02,2026-03-23
ANGO,AngioDynamics,,2023-09-18
ANIP,"ANI Pharmaceuticals, Inc.",,
AORT,Artivion,,
AOSL,"Alpha and Omega Semiconductor, Ltd.",2022-05-19,
APAM,"Artisan Partners Asset Management, Inc.",2023-06-19,
APEI,American Public Education,,2022-09-19
APLE,"Apple Hospitality REIT, Inc.",2023-09-18,
APLS,Apellis Pharmaceuticals,2026-02-02,2026-05-14
APOG,"Apogee Enterprises, Inc.",,
APPS,Digital Turbine,2022-06-29,2024-03-18
ARCB,ArcBest Corp.,,
ARCH,Arch Resources,2024-03-18,2025-01-14
ARI,Apollo Commercial Real Estate Finance,,2026-07-01
ARLO,Arlo Technologies,,
ARNC,Arconic,,2023-08-21
AROC,"Archrock, Inc.",,
ARR,Armour Residential REIT,,
